MOT.Q0,MOT.Q1,MOT.Q3,Label
0.786288,0.062317,-0.013428,1
0.312126,-0.563599,-0.647034,2
0.310143,-0.564148,-0.647278,2
0.669566,0.117493,-0.134583,0
0.81455,0.036316,-0.207092,0
0.31001,-0.564758,-0.646423,2
0.656019,0.048767,-0.091248,0
0.637564,-0.085938,-0.305847,1
0.785876,0.004333,-0.15332,0
0.331278,-0.542847,-0.612549,2
0.310987,-0.566101,-0.645203,2
0.830735,0.112427,-0.073486,1
0.782878,-0.051392,-0.162231,0
0.750563,0.045044,-0.107422,0
0.617664,-0.180786,-0.38678,1
0.781222,0.019348,-0.165649,0
0.669347,-0.030396,0.047852,1
0.677855,-0.030823,0.063354,1
0.688687,0.064697,-0.131226,0
0.845087,-0.033203,-0.217529,0
0.322595,-0.542908,-0.614685,2
0.323947,-0.541931,-0.614319,2
0.698099,-0.002563,0.047546,1
0.737557,-0.070007,-0.135498,0
0.324607,-0.540955,-0.614502,2
0.322386,-0.541748,-0.615723,2
0.331279,-0.542175,-0.611877,2
0.682371,0.078674,-0.144653,0
0.818053,-0.005249,-0.228516,0
0.313502,-0.566711,-0.644104,2
0.656668,-0.048645,0.10199,1
0.713218,0.01886,-0.138977,0
0.47906,-0.11792,-0.281372,1
0.846711,-0.017517,-0.23407,0
0.642738,-0.024597,-0.163147,0
0.637705,-0.202942,-0.360352,1
0.310895,-0.565491,-0.645203,2
0.829843,0.07666,-0.059448,1
0.329123,-0.54071,-0.61377,2
0.322329,-0.538757,-0.617249,2
0.751564,-0.008789,-0.008545,1
0.606785,-0.201355,-0.36084,1
0.329383,-0.541138,-0.61377,2
0.841011,0.091919,-0.075134,1
0.313878,-0.567383,-0.643677,2
0.519033,-0.09613,-0.291199,1
0.323565,-0.540955,-0.615051,2
0.543191,-0.156799,-0.250854,1
0.748877,0.016174,-0.207214,0
0.60509,-0.112427,-0.272034,1
0.487871,-0.206482,-0.196472,1
0.310815,-0.565491,-0.645203,2
0.852485,-0.019653,-0.206726,0
0.330213,-0.542236,-0.612915,2
0.462807,-0.088074,-0.169983,1
0.817438,0.155212,-0.055969,1
0.429023,-0.096619,-0.154602,1
0.323712,-0.541443,-0.615295,2
0.864556,-0.023132,-0.207275,0
0.321823,-0.541138,-0.615051,2
0.471805,-0.116882,-0.230347,1
0.840226,-0.016724,-0.200928,0
0.656312,0.05249,-0.109253,0
0.331573,-0.541443,-0.612976,2
0.861583,-0.049377,-0.219788,0
0.72771,0.046204,-0.000793,1
0.771762,-0.036255,-0.17218,0
0.322765,-0.542114,-0.615295,2
0.308685,-0.563354,-0.64801,2
0.330532,-0.541687,-0.612854,2
0.72712,-0.002075,0.040649,1
0.312094,-0.564636,-0.645874,2
0.835392,-0.082397,-0.136108,0
0.651093,0.059937,-0.101746,0
0.31118,-0.563599,-0.646912,2
0.609241,-0.188171,-0.330444,1
0.676221,0.056335,-0.136536,0
0.330107,-0.541138,-0.613708,2
0.699909,0.02771,-0.203857,1
0.549623,-0.120605,-0.303528,1
0.419622,-0.211304,-0.158875,1
0.323298,-0.540466,-0.614868,2
0.867402,-0.023743,-0.211304,0
0.325048,-0.541565,-0.614624,2
0.323221,-0.541443,-0.615601,2
0.841953,0.125183,-0.044373,1
0.874065,0.028931,-0.161987,0
0.708257,0.029541,0.004517,1
0.734983,0.012329,-0.19873,0
0.673898,0.069092,-0.147522,0
0.833928,0.081787,-0.064697,1
0.559035,-0.245056,-0.300598,1
0.668777,0.049011,-0.084656,0
0.330949,-0.542053,-0.613708,2
0.322571,-0.542603,-0.614685,2
0.309968,-0.56427,-0.647217,2
0.68101,0.103088,-0.154846,0
0.823121,-0.076904,-0.18103,0
0.643637,-0.06073,-0.322754,1
0.757675,0.051575,-0.039124,1
0.845553,-0.052185,-0.197754,0
0.311197,-0.563538,-0.647034,2
0.31265,-0.564575,-0.645813,2
0.417298,-0.195374,-0.1521,1
0.744801,-0.017273,-0.211914,0
0.6888,0.086914,-0.14856,0
0.834667,-0.037598,-0.221313,0
0.628325,-0.224182,-0.366821,1
0.708395,-0.02533,-0.180237,0
0.680807,-0.113098,-0.354797,1
0.70042,0.0224,-0.119446,0
0.721849,0.045471,-0.168274,0
0.830935,-0.020874,-0.191956,0
0.432843,-0.168579,-0.168518,1
0.329697,-0.541016,-0.613708,2
0.312739,-0.565674,-0.644653,2
0.627948,-0.235168,-0.340027,1
0.311112,-0.567444,-0.644348,2
0.309447,-0.565918,-0.645447,2
0.704279,0.036133,-0.038696,1
0.522507,-0.158813,-0.232056,1
0.800854,0.009338,-0.174438,0
0.862301,0.065308,-0.10022,1
0.322556,-0.541626,-0.615601,2
0.818106,0.066406,-0.271179,0
0.704828,0.018494,-0.139038,0
0.628679,-0.22052,-0.359924,1
0.444745,-0.188171,-0.207581,1
0.636694,-0.026245,0.066895,1
0.449664,-0.147827,-0.180237,1
0.813386,-0.075928,-0.161377,0
0.309277,-0.564575,-0.646973,2
0.323101,-0.541077,-0.615845,2
0.710087,0.101501,-0.10022,0
0.549793,-0.160583,-0.292847,1
0.483321,-0.103638,-0.202393,1
0.559935,-0.189453,-0.314087,1
0.599893,-0.185059,-0.318848,1
0.707045,0.062927,-0.119141,0
0.322659,-0.541565,-0.615601,2
0.656537,0.064941,-0.094849,0
0.779898,-0.032471,-0.196838,0
0.33208,-0.542236,-0.612,2
0.815131,0.075745,-0.031738,1
0.64233,0.08783,-0.124329,0
0.500543,-0.183228,-0.193787,1
0.79709,-0.002441,-0.088806,0
0.637943,-0.203674,-0.362915,1
0.321944,-0.541931,-0.614807,2
0.646784,-0.006531,-0.174683,0
0.325424,-0.541382,-0.614258,2
0.527847,-0.187134,-0.258118,1
0.75658,-0.038208,-0.1745,0
0.803939,-0.057678,-0.184998,0
0.659087,0.074341,-0.116516,0
0.795766,0.021118,-0.185303,0
0.621877,-0.159302,-0.296936,1
0.31142,-0.563721,-0.646729,2
0.833322,-0.004822,-0.172363,0
0.323742,-0.54126,-0.615112,2
0.652015,-0.031738,0.058105,1
0.332238,-0.542664,-0.611206,2
0.750245,-0.040039,-0.185425,0
0.777631,-0.031494,-0.115662,0
0.769601,-0.028198,-0.189026,0
0.810038,0.160034,-0.125732,1
0.602868,-0.169983,-0.373413,1
0.323296,-0.543335,-0.614502,2
0.842188,-0.016174,-0.206665,0
0.848983,-0.099609,-0.210022,0
0.311842,-0.566284,-0.644165,2
0.330223,-0.541931,-0.613647,2
0.324255,-0.542114,-0.614136,2
0.331201,-0.542358,-0.612976,2
0.313352,-0.566345,-0.644653,2
0.79237,-0.030457,-0.190308,0
0.679714,-0.023254,-0.160461,0
0.32289,-0.540894,-0.615601,2
0.311742,-0.564819,-0.646423,2
0.432881,-0.190796,-0.142761,1
0.746813,0.057739,-0.19696,0
0.860192,-0.025146,-0.208496,0
0.312538,-0.566162,-0.644592,2
0.808937,0.149292,-0.086853,1
0.666356,-0.041809,-0.118774,0
0.678681,0.037781,-0.105103,0
0.829139,0.004211,-0.173279,0
0.311292,-0.567017,-0.644714,2
0.657183,0.108276,-0.168274,0
0.801973,0.139648,-0.072266,1
0.833631,-0.006836,-0.175232,0
0.841394,0.029663,-0.216797,0
0.31362,-0.567139,-0.644287,2
0.50502,-0.039185,-0.23645,1
0.323783,-0.541321,-0.61499,2
0.84657,-0.016968,-0.199097,0
0.675331,-0.094849,-0.290405,1
0.658732,-0.162842,-0.324219,1
0.325395,-0.541687,-0.61438,2
0.69327,0.057373,-0.140442,0
0.66399,-0.105652,-0.333801,1
0.323773,-0.541321,-0.615417,2
0.650629,-0.0177,0.064209,1
0.680747,-0.036743,0.066406,1
0.587654,-0.120667,-0.283936,1
0.309914,-0.566345,-0.645813,2
0.311482,-0.565674,-0.644836,2
0.833649,0.006836,-0.150208,0
0.702535,0.038879,-0.117126,0
0.676343,0.046692,-0.106873,0
0.727132,-0.012146,0.041748,1
0.647402,0.086121,-0.094543,0
0.673356,-0.001709,0.026794,1
0.481087,-0.108276,-0.278198,1
0.720899,0.01001,-0.112488,0
0.840511,0.008118,-0.229492,0
0.331927,-0.542419,-0.612061,2
0.594836,-0.188354,-0.344666,1
0.513617,-0.112854,-0.215027,1
0.665639,-0.049866,-0.162109,0
0.698334,-0.012573,0.037842,1
0.640184,-0.208557,-0.361084,1
0.312622,-0.566162,-0.644165,2
0.532891,-0.163635,-0.253418,1
0.617964,-0.197632,-0.358765,1
0.848933,-0.036255,-0.221802,0
0.859367,-0.084778,-0.169067,0
0.672114,-0.004272,0.060303,1
0.325657,-0.54187,-0.613892,2
0.815681,-0.025879,-0.194214,0
0.874878,-0.046875,-0.103516,0
0.638432,-0.274536,-0.304688,1
0.332281,-0.542419,-0.612244,2
0.427773,-0.115234,-0.200867,1
0.312238,-0.56488,-0.64563,2
0.711108,0.059631,-0.118286,0
0.798061,0.126892,-0.095337,1
0.828726,0.079407,-0.035461,1
0.328945,-0.540894,-0.613281,2
0.629362,-0.234497,-0.37207,1
0.674819,-0.012451,-0.242126,1
0.693128,0.012207,0.041016,1
0.836972,0.085815,-0.068848,1
0.6662,-0.020203,-0.177002,0
0.581794,-0.164307,-0.338623,1
0.521012,-0.207092,-0.270569,1
0.807746,0.156372,-0.106812,1
0.674319,0.078857,-0.130798,0
0.771072,0.00769,-0.201416,0
0.32223,-0.541809,-0.615845,2
0.510995,-0.163452,-0.233215,1
0.842613,-0.041077,-0.197144,0
0.777478,0.085449,-0.17218,0
0.825933,0.025757,-0.219421,0
0.812806,0.024048,-0.188171,0
0.592428,-0.138,-0.222046,1
0.801593,0.136841,-0.08551,1
0.696188,0.061157,-0.145386,0
0.310694,-0.564941,-0.645935,2
0.652614,-0.013367,0.063782,1
0.855534,-0.034424,-0.207947,0
0.735642,-0.032532,-0.210327,0
0.64454,-0.227356,-0.372986,1
0.321075,-0.539978,-0.616882,2
0.673699,-0.113892,-0.286194,1
0.597657,-0.23761,-0.339783,1
0.863753,-0.039612,-0.18988,0
0.317893,-0.539429,-0.618164,2
0.692709,-0.019165,-0.168274,0
0.687038,0.085205,-0.121155,0
0.33021,-0.541809,-0.612732,2
0.81041,0.028381,-0.033264,1
0.613309,-0.023315,0.050171,1
0.489653,-0.191772,-0.222595,1
0.845625,-0.042908,-0.197388,0
0.60225,-0.031372,-0.282715,1
0.454997,-0.094238,-0.147217,1
0.313277,-0.566711,-0.644714,2
0.331137,-0.542786,-0.612305,2
0.670779,-0.027893,0.081543,1
0.312591,-0.56543,-0.645325,2
0.785248,-0.06427,-0.15918,0
0.310461,-0.564087,-0.647217,2
0.82412,-0.05188,-0.160522,0
0.652704,-0.051636,-0.30719,1
0.599312,-0.172363,-0.370972,1
0.311785,-0.567261,-0.644531,2
0.86399,-0.087402,-0.18988,0
0.585334,-0.107117,-0.324158,1
0.702993,0.05304,-0.061523,0
0.33177,-0.542542,-0.612366,2
0.781144,0.045471,-0.188599,0
